TransactionID,Date,ProductID,ProductCategory,Quantity,UnitPrice,Region
100001,2024-01-01,P0062,Apparel,2,22.48,South
100002,2024-01-01,P0061,Groceries,7,9.84,North
100003,2024-01-01,P0074,Beauty,2,58.81,East
100004,2024-01-01,P0101,Electronics,2,567.18,North
100005,2024-01-01,P0047,Apparel,1,45.29,West
100006,2024-01-01,P0007,Electronics,1,676.25,South
100007,2024-01-01,P0087,Home & Kitchen,2,28.7,South
100008,2024-01-01,P0024,Groceries,2,8.92,South
100009,2024-01-01,P0015,Apparel,4,113.72,West
100010,2024-01-01,P0034,Sports,1,103.0,South
100011,2024-01-01,P0039,Home & Kitchen,1,40.64,North
100012,2024-01-01,P0108,Home & Kitchen,3,68.07,North
100013,2024-01-01,P0030,Electronics,3,309.48,North
100014,2024-01-01,P0068,Beauty,3,52.19,West
100015,2024-01-01,P0077,Beauty,2,66.71,West
100016,2024-01-01,P0110,Electronics,1,549.17,North
100017,2024-01-01,P0006,Electronics,2,410.43,East
100018,2024-01-01,P0035,Sports,2,197.27,North
100019,2024-01-01,P0073,Electronics,3,732.28,South
100020,2024-01-01,P0042,Groceries,5,16.54,East
100021,2024-01-01,P0060,Apparel,1,25.13,West
100022,2024-01-01,P0062,Apparel,3,22.48,South
100023,2024-01-01,P0040,Groceries,2,18.75,North
100024,2024-01-02,P0027,Apparel,1,77.05,West
100025,2024-01-02,P0010,Home & Kitchen,1,83.95,North
100026,2024-01-02,P0012,Sports,1,52.2,East
100027,2024-01-02,P0095,Beauty,1,65.54,North
100028,2024-01-02,P0105,Sports,3,59.82,East
100029,2024-01-02,P0017,Apparel,3,65.59,West
100030,2024-01-02,P0099,Electronics,1,546.71,South
100031,2024-01-02,P0087,Home & Kitchen,1,28.7,South
100032,2024-01-02,P0119,Sports,3,132.64,North
100033,2024-01-02,P0056,Sports,2,43.13,South
100034,2024-01-02,P0001,Groceries,7,20.57,North
100035,2024-01-02,P0008,Beauty,4,77.23,East
100036,2024-01-02,P0078,Electronics,2,730.03,North
100037,2024-01-02,P0117,Beauty,3,24.85,South
100038,2024-01-02,P0032,Electronics,5,244.83,East
100039,2024-01-02,P0092,Home & Kitchen,2,108.41,South
100040,2024-01-02,P0033,Electronics,1,218.53,West
100041,2024-01-02,P0015,Apparel,1,107.52,East
100042,2024-01-02,P0103,Apparel,4,20.3,East
100043,2024-01-02,P0080,Electronics,2,650.32,South
100044,2024-01-02,P0118,Apparel,3,12.67,South
100045,2024-01-02,P0053,Sports,2,107.3,North
100046,2024-01-02,P0003,Home & Kitchen,1,57.93,North
100047,2024-01-02,P0007,Electronics,2,676.25,South
100048,2024-01-02,P0020,Apparel,3,106.3,East
100049,2024-01-02,P0039,Home & Kitchen,1,47.08,North
100050,2024-01-02,P0015,Apparel,2,113.72,East
100051,2024-01-02,P0037,Apparel,2,83.93,South
100052,2024-01-02,P0002,Sports,1,180.26,South
100053,2024-01-03,P0005,Electronics,1,273.76,South
100054,2024-01-03,P0014,Apparel,2,43.25,East
100055,2024-01-03,P0118,Apparel,1,12.67,East
100056,2024-01-03,P0044,Sports,3,111.58,North
100057,2024-01-03,P0001,Groceries,0,20.53,West
100058,2024-01-03,P0050,Apparel,3,75.0,South
100059,2024-01-03,P0052,Beauty,4,6.41,South
100060,2024-01-03,P0034,Sports,3,103.0,West
100061,2024-01-03,P0091,Electronics,3,493.14,South
100062,2024-01-03,P0092,Home & Kitchen,1,108.41,South
100063,2024-01-03,P0013,Beauty,5,15.19,West
100064,2024-01-03,P0083,Apparel,2,27.78,South
100065,2024-01-03,P0015,Apparel,2,113.72,South
100066,2024-01-03,P0099,Electronics,1,561.75,East
100067,2024-01-03,P0072,Apparel,2,108.69,South
100068,2024-01-03,P0044,Sports,1,111.8,East
100069,2024-01-03,P0021,Home & Kitchen,1,137.27,West
100070,2024-01-03,P0015,Apparel,1,113.72,North
100071,2024-01-03,P0110,Electronics,1,549.17,South
100072,2024-01-03,P0049,Groceries,6,2.94,West
100073,2024-01-03,P0084,Electronics,2,690.79,West
100074,2024-01-03,P0086,Apparel,3,11.01,West
100075,2024-01-03,P0091,Electronics,1,493.14,South
100076,2024-01-03,P0036,Beauty,2,25.57,West
100077,2024-01-03,P0022,Electronics,1,291.21,East
100078,2024-01-03,P0078,Electronics,1,650.59,East
100079,2024-01-03,P0039,Home & Kitchen,1,47.08,West
100080,2024-01-03,P0032,Electronics,1,244.1,West
100081,2024-01-04,P0070,Sports,1,55.95,North
100082,2024-01-04,P0021,Home & Kitchen,1,144.93,North
100083,2024-01-04,P0002,Sports,4,168.42,West
100084,2024-01-04,P0055,Home & Kitchen,1,102.1,East
100085,2024-01-04,P0084,Electronics,1,728.19,North
100086,2024-01-04,P0065,Apparel,3,38.37,North
100087,2024-01-04,P0098,Groceries,2,19.17,South
100088,2024-01-04,P0065,Apparel,1,38.37,East
100089,2024-01-04,P0043,Electronics,2,550.8,South
100090,2024-01-04,P0030,Electronics,4,281.77,North
100091,2024-01-04,P0020,Apparel,4,116.9,North
100092,2024-01-04,P0052,Beauty,2,6.41,North
100093,2024-01-04,P0068,Beauty,2,52.19,West
100094,2024-01-04,P0063,Beauty,4,80.85,South
100095,2024-01-04,P0031,Home & Kitchen,2,119.48,South
100096,2024-01-04,P0097,Groceries,8,9.48,South
100097,2024-01-04,P0092,Home & Kitchen,1,108.41,West
100098,2024-01-04,P0021,Home & Kitchen,1,144.93,East
100099,2024-01-04,P0065,Apparel,3,32.86,South
100100,2024-01-04,P0021,Home & Kitchen,1,144.93,North
100101,2024-01-04,P0104,Groceries,6,10.46,West
100102,2024-01-04,P0097,Groceries,5,9.48,East
100103,2024-01-04,P0088,Home & Kitchen,1,104.57,South
100104,2024-01-04,P0087,Home & Kitchen,1,24.45,West
100105,2024-01-05,P0110,Electronics,4,549.17,East
100106,2024-01-05,P0010,Home & Kitchen,1,83.55,South
100107,2024-01-05,P0066,Groceries,2,17.18,North
100108,2024-01-05,P0114,Beauty,1,46.86,North
100109,2024-01-05,P0016,Apparel,2,45.55,West
100110,2024-01-05,P0059,Electronics,1,756.98,South
100111,2024-01-05,P0051,Sports,2,138.74,West
100112,2024-01-05,P0018,Groceries,6,18.17,East
100113,2024-01-05,P0013,Beauty,1,15.19,West
100114,2024-01-05,P0088,Home & Kitchen,1,104.57,East
100115,2024-01-05,P0023,Apparel,4,64.7,North
100116,2024-01-05,P0065,Apparel,1,38.37,East
100117,2024-01-05,P0046,Home & Kitchen,1,127.77,West
100118,2024-01-05,P0090,Groceries,3,5.7,East
100119,2024-01-05,P0070,Sports,3,55.95,West
100120,2024-01-05,P0085,Apparel,1,76.71,North
100121,2024-01-05,P0045,Apparel,1,19.93,South
100122,2024-01-05,P0080,Electronics,1,650.32,North
100123,2024-01-05,P0019,Groceries,4,10.36,West
100124,2024-01-06,P0064,Apparel,2,106.51,North
100125,2024-01-06,P0092,Home & Kitchen,4,108.41,West
100126,2024-01-06,P0078,Electronics,3,730.03,West
100127,2024-01-06,P0094,Groceries,6,7.16,West
100128,2024-01-06,P0074,Beauty,3,58.81,West
100129,2024-01-06,P0041,Electronics,1,370.09,North
100130,2024-01-06,P0036,Beauty,1,25.57,North
100131,2024-01-06,P0055,Home & Kitchen,2,102.1,South
100132,2024-01-06,P0045,Apparel,1,19.93,East
100133,2024-01-06,P0091,Electronics,2,493.14,West
100134,2024-01-06,P0042,Groceries,7,16.54,South
100135,2024-01-06,P0061,Groceries,2,9.84,West
100136,2024-01-06,P0061,Groceries,6,9.84,South
100137,2024-01-06,P0057,Electronics,2,589.84,East
100138,2024-01-06,P0060,Apparel,4,25.13,East
100139,2024-01-06,P0015,Apparel,4,113.72,West
